theta(град)   d_times   d_db
15.667834   0.062222   -12.060565
15.757879   0.062962   -12.009203
15.847924   0.063707   -11.958117
15.937969   0.064457   -11.907304
16.028014   0.065211   -11.856762
16.118059   0.065971   -11.806488
16.208104   0.066735   -11.756477
16.298149   0.067504   -11.706727
16.388194   0.068277   -11.657236
16.478239   0.069056   -11.608001
16.568284   0.069839   -11.559018
16.658329   0.070627   -11.510284
16.748374   0.071420   -11.461798
16.838419   0.072218   -11.413557
16.928464   0.073020   -11.365557
17.018509   0.073828   -11.317796
17.108554   0.074640   -11.270272
17.198599   0.075457   -11.222982
17.288644   0.076279   -11.175924
17.378689   0.077106   -11.129095
17.468734   0.077938   -11.082493
17.558779   0.078775   -11.036115
17.648824   0.079617   -10.989959
17.738869   0.080463   -10.944023
17.828915   0.081315   -10.898305
17.918960   0.082171   -10.852802
18.009005   0.083033   -10.807513
18.099050   0.083899   -10.762434
18.189095   0.084770   -10.717564
18.279140   0.085647   -10.672901
18.369185   0.086528   -10.628443
18.459230   0.087414   -10.584188
18.549275   0.088305   -10.540133
18.639320   0.089202   -10.496277
18.729365   0.090103   -10.452618
18.819410   0.091009   -10.409154
18.909455   0.091920   -10.365883
18.999500   0.092837   -10.322803
19.089545   0.093758   -10.279913
19.179590   0.094685   -10.237210
19.269635   0.095616   -10.194693
19.359680   0.096553   -10.152361
19.449725   0.097494   -10.110210
19.539770   0.098441   -10.068241
19.629815   0.099393   -10.026450
19.719860   0.100350   -9.984836
19.809905   0.101312   -9.943399
19.899950   0.102279   -9.902135
19.989995   0.103251   -9.861044
20.080040   0.104229   -9.820124
20.170085   0.105211   -9.779374
20.260130   0.106199   -9.738791
20.350175   0.107192   -9.698375
20.440220   0.108190   -9.658124
20.530265   0.109193   -9.618037
20.620310   0.110202   -9.578111
20.710355   0.111216   -9.538346
20.800400   0.112234   -9.498741
20.890445   0.113258   -9.459293
20.980490   0.114288   -9.420002
21.070535   0.115322   -9.380866
21.160580   0.116362   -9.341884
21.250625   0.117407   -9.303054
21.340670   0.118457   -9.264376
21.430715   0.119513   -9.225848
21.520760   0.120574   -9.187469
21.610805   0.121640   -9.149237
21.700850   0.122711   -9.111152
21.790895   0.123788   -9.073211
21.880941   0.124870   -9.035415
21.970986   0.125957   -8.997761
22.061031   0.127050   -8.960249
22.151076   0.128148   -8.922877
22.241121   0.129251   -8.885645
22.331166   0.130360   -8.848550
22.421211   0.131474   -8.811593
22.511256   0.132594   -8.774772
22.601301   0.133718   -8.738086
22.691346   0.134849   -8.701533
22.781391   0.135984   -8.665114
22.871436   0.137125   -8.628826
22.961481   0.138272   -8.592669
23.051526   0.139423   -8.556642
23.141571   0.140581   -8.520743
23.231616   0.141743   -8.484973
23.321661   0.142911   -8.449329
23.411706   0.144085   -8.413811
23.501751   0.145264   -8.378418
23.591796   0.146449   -8.343148
23.681841   0.147639   -8.308002
23.771886   0.148834   -8.272978
23.861931   0.150035   -8.238075
23.951976   0.151241   -8.203293
24.042021   0.152453   -8.168630
