theta(град)   d_times   d_db
79.599800   1.621934   2.100333
79.689845   1.623513   2.104557
79.779890   1.625079   2.108745
79.869935   1.626633   2.112896
79.959980   1.628175   2.117010
80.050025   1.629704   2.121088
80.140070   1.631221   2.125129
80.230115   1.632726   2.129134
80.320160   1.634219   2.133101
80.410205   1.635699   2.137033
80.500250   1.637166   2.140927
80.590295   1.638621   2.144785
80.680340   1.640063   2.148606
80.770385   1.641493   2.152390
80.860430   1.642910   2.156138
80.950475   1.644315   2.159849
81.040520   1.645706   2.163523
81.130565   1.647085   2.167161
81.220610   1.648452   2.170762
81.310655   1.649805   2.174326
81.400700   1.651146   2.177854
81.490745   1.652474   2.181345
81.580790   1.653788   2.184799
81.670835   1.655090   2.188217
81.760880   1.656379   2.191598
81.850925   1.657655   2.194942
81.940970   1.658918   2.198249
82.031016   1.660168   2.201520
82.121061   1.661405   2.204754
82.211106   1.662628   2.207952
82.301151   1.663839   2.211112
82.391196   1.665036   2.214236
82.481241   1.666220   2.217323
82.571286   1.667391   2.220374
82.661331   1.668548   2.223388
82.751376   1.669692   2.226365
82.841421   1.670823   2.229305
82.931466   1.671941   2.232209
83.021511   1.673045   2.235076
83.111556   1.674136   2.237906
83.201601   1.675213   2.240700
83.291646   1.676277   2.243457
83.381691   1.677327   2.246177
83.471736   1.678363   2.248860
83.561781   1.679387   2.251507
83.651826   1.680396   2.254117
83.741871   1.681392   2.256690
83.831916   1.682374   2.259226
83.921961   1.683343   2.261726
84.012006   1.684298   2.264189
84.102051   1.685239   2.266615
84.192096   1.686167   2.269005
84.282141   1.687080   2.271358
84.372186   1.687980   2.273674
84.462231   1.688867   2.275953
84.552276   1.689739   2.278196
84.642321   1.690597   2.280402
84.732366   1.691442   2.282571
84.822411   1.692273   2.284703
84.912456   1.693089   2.286799
85.002501   1.693892   2.288858
85.092546   1.694681   2.290880
85.182591   1.695456   2.292865
85.272636   1.696217   2.294814
85.362681   1.696964   2.296726
85.452726   1.697697   2.298601
85.542771   1.698415   2.300439
85.632816   1.699120   2.302241
85.722861   1.699811   2.304006
85.812906   1.700487   2.305734
85.902951   1.701150   2.307426
85.992997   1.701798   2.309080
86.083042   1.702432   2.310698
86.173087   1.703052   2.312279
86.263132   1.703658   2.313824
86.353177   1.704249   2.315331
86.443222   1.704827   2.316802
86.533267   1.705390   2.318236
86.623312   1.705938   2.319633
86.713357   1.706473   2.320994
86.803402   1.706993   2.322318
86.893447   1.707499   2.323605
86.983492   1.707991   2.324855
87.073537   1.708468   2.326069
87.163582   1.708931   2.327245
87.253627   1.709380   2.328385
87.343672   1.709814   2.329489
87.433717   1.710234   2.330555
87.523762   1.710639   2.331585
87.613807   1.711031   2.332578
87.703852   1.711407   2.333534
87.793897   1.711770   2.334453
87.883942   1.712117   2.335336
87.973987   1.712451   2.336181
88.064032   1.712770   2.336991
88.154077   1.713075   2.337763
88.244122   1.713365   2.338498
88.334167   1.713640   2.339197
88.424212   1.713902   2.339859
88.514257   1.714148   2.340484
88.604302   1.714381   2.341073
88.694347   1.714598   2.341624
88.784392   1.714802   2.342139
88.874437   1.714991   2.342617
88.964482   1.715165   2.343059
89.054527   1.715325   2.343463
89.144572   1.715470   2.343831
89.234617   1.715601   2.344162
89.324662   1.715717   2.344456
89.414707   1.715818   2.344713
89.504752   1.715906   2.344934
89.594797   1.715978   2.345118
89.684842   1.716036   2.345265
89.774887   1.716080   2.345375
89.864932   1.716109   2.345449
89.954977   1.716124   2.345486
90.045023   1.716124   2.345486
90.135068   1.716109   2.345449
90.225113   1.716080   2.345375
90.315158   1.716036   2.345265
90.405203   1.715978   2.345118
90.495248   1.715906   2.344934
90.585293   1.715818   2.344713
90.675338   1.715717   2.344456
90.765383   1.715601   2.344162
90.855428   1.715470   2.343831
90.945473   1.715325   2.343463
91.035518   1.715165   2.343059
91.125563   1.714991   2.342617
91.215608   1.714802   2.342139
91.305653   1.714598   2.341624
91.395698   1.714381   2.341073
91.485743   1.714148   2.340484
91.575788   1.713902   2.339859
91.665833   1.713640   2.339197
91.755878   1.713365   2.338498
91.845923   1.713075   2.337763
91.935968   1.712770   2.336991
92.026013   1.712451   2.336181
92.116058   1.712117   2.335336
92.206103   1.711770   2.334453
92.296148   1.711407   2.333534
92.386193   1.711031   2.332578
92.476238   1.710639   2.331585
92.566283   1.710234   2.330555
92.656328   1.709814   2.329489
92.746373   1.709380   2.328385
92.836418   1.708931   2.327245
92.926463   1.708468   2.326069
93.016508   1.707991   2.324855
93.106553   1.707499   2.323605
93.196598   1.706993   2.322318
93.286643   1.706473   2.320994
93.376688   1.705938   2.319633
93.466733   1.705390   2.318236
93.556778   1.704827   2.316802
93.646823   1.704249   2.315331
93.736868   1.703658   2.313824
93.826913   1.703052   2.312279
93.916958   1.702432   2.310698
94.007003   1.701798   2.309080
94.097049   1.701150   2.307426
94.187094   1.700487   2.305734
94.277139   1.699811   2.304006
94.367184   1.699120   2.302241
94.457229   1.698415   2.300439
94.547274   1.697697   2.298601
94.637319   1.696964   2.296726
94.727364   1.696217   2.294814
94.817409   1.695456   2.292865
94.907454   1.694681   2.290880
94.997499   1.693892   2.288858
95.087544   1.693089   2.286799
95.177589   1.692273   2.284703
95.267634   1.691442   2.282571
95.357679   1.690597   2.280402
95.447724   1.689739   2.278196
95.537769   1.688867   2.275953
95.627814   1.687980   2.273674
95.717859   1.687080   2.271358
95.807904   1.686167   2.269005
95.897949   1.685239   2.266615
95.987994   1.684298   2.264189
96.078039   1.683343   2.261726
96.168084   1.682374   2.259226
96.258129   1.681392   2.256690
96.348174   1.680396   2.254117
96.438219   1.679387   2.251507
96.528264   1.678363   2.248860
96.618309   1.677327   2.246177
96.708354   1.676277   2.243457
96.798399   1.675213   2.240700
96.888444   1.674136   2.237906
96.978489   1.673045   2.235076
97.068534   1.671941   2.232209
97.158579   1.670823   2.229305
97.248624   1.669692   2.226365
97.338669   1.668548   2.223388
97.428714   1.667391   2.220374
97.518759   1.666220   2.217323
97.608804   1.665036   2.214236
97.698849   1.663839   2.211112
97.788894   1.662628   2.207952
97.878939   1.661405   2.204754
97.968984   1.660168   2.201520
98.059030   1.658918   2.198249
98.149075   1.657655   2.194942
98.239120   1.656379   2.191598
98.329165   1.655090   2.188217
98.419210   1.653788   2.184799
98.509255   1.652474   2.181345
98.599300   1.651146   2.177854
98.689345   1.649805   2.174326
98.779390   1.648452   2.170762
98.869435   1.647085   2.167161
98.959480   1.645706   2.163523
99.049525   1.644315   2.159849
99.139570   1.642910   2.156138
99.229615   1.641493   2.152390
99.319660   1.640063   2.148606
99.409705   1.638621   2.144785
99.499750   1.637166   2.140927
99.589795   1.635699   2.137033
99.679840   1.634219   2.133101
99.769885   1.632726   2.129134
99.859930   1.631221   2.125129
99.949975   1.629704   2.121088
100.040020   1.628175   2.117010
100.130065   1.626633   2.112896
100.220110   1.625079   2.108745
100.310155   1.623513   2.104557
100.400200   1.621934   2.100333
100.490245   1.620344   2.096072
100.580290   1.618741   2.091774
100.670335   1.617126   2.087440
100.760380   1.615500   2.083069
100.850425   1.613861   2.078661
100.940470   1.612210   2.074217
101.030515   1.610548   2.069736
101.120560   1.608873   2.065218
101.210605   1.607187   2.060664
101.300650   1.605489   2.056073
101.390695   1.603779   2.051445
101.480740   1.602058   2.046781
101.570785   1.600324   2.042080
101.660830   1.598580   2.037343
101.750875   1.596823   2.032569
101.840920   1.595056   2.027758
101.930965   1.593276   2.022911
102.021010   1.591486   2.018027
102.111056   1.589683   2.013106
102.201101   1.587870   2.008149
102.291146   1.586045   2.003155
102.381191   1.584209   1.998125
102.471236   1.582362   1.993058
102.561281   1.580503   1.987954
102.651326   1.578634   1.982814
102.741371   1.576753   1.977637
102.831416   1.574862   1.972424
102.921461   1.572959   1.967174
103.011506   1.571045   1.961887
103.101551   1.569121   1.956564
103.191596   1.567185   1.951204
103.281641   1.565239   1.945807
103.371686   1.563282   1.940374
103.461731   1.561315   1.934904
103.551776   1.559336   1.929398
103.641821   1.557347   1.923855
103.731866   1.555348   1.918276
103.821911   1.553338   1.912660
103.911956   1.551318   1.907007
104.002001   1.549287   1.901318
104.092046   1.547245   1.895592
104.182091   1.545194   1.889829
104.272136   1.543132   1.884030
104.362181   1.541060   1.878195
104.452226   1.538977   1.872323
104.542271   1.536885   1.866414
104.632316   1.534783   1.860469
104.722361   1.532670   1.854487
104.812406   1.530548   1.848468
104.902451   1.528415   1.842413
104.992496   1.526273   1.836322
105.082541   1.524121   1.830193
105.172586   1.521959   1.824029
105.262631   1.519787   1.817827
105.352676   1.517606   1.811589
105.442721   1.515415   1.805315
105.532766   1.513214   1.799004
105.622811   1.511004   1.792656
105.712856   1.508785   1.786272
105.802901   1.506556   1.779851
105.892946   1.504317   1.773394
105.982991   1.502070   1.766900
106.073037   1.499813   1.760370
106.163082   1.497546   1.753803
106.253127   1.495271   1.747200
106.343172   1.492987   1.740560
106.433217   1.490693   1.733883
106.523262   1.488391   1.727170
106.613307   1.486079   1.720420
106.703352   1.483759   1.713634
106.793397   1.481430   1.706811
106.883442   1.479092   1.699952
106.973487   1.476745   1.693056
107.063532   1.474390   1.686124
107.153577   1.472026   1.679155
107.243622   1.469653   1.672149
107.333667   1.467272   1.665107
107.423712   1.464883   1.658029
107.513757   1.462485   1.650913
107.603802   1.460078   1.643762
107.693847   1.457664   1.636574
107.783892   1.455241   1.629349
107.873937   1.452810   1.622088
107.963982   1.450371   1.614790
108.054027   1.447923   1.607456
108.144072   1.445468   1.600085
108.234117   1.443005   1.592677
108.324162   1.440533   1.585233
108.414207   1.438054   1.577753
108.504252   1.435567   1.570236
108.594297   1.433073   1.562682
108.684342   1.430570   1.555092
108.774387   1.428060   1.547466
108.864432   1.425543   1.539802
108.954477   1.423018   1.532103
109.044522   1.420485   1.524367
109.134567   1.417945   1.516594
109.224612   1.415398   1.508785
109.314657   1.412843   1.500939
109.404702   1.410281   1.493056
109.494747   1.407712   1.485137
109.584792   1.405135   1.477182
109.674837   1.402552   1.469190
109.764882   1.399962   1.461162
109.854927   1.397364   1.453097
109.944972   1.394760   1.444995
110.035017   1.392149   1.436857
110.125063   1.389531   1.428682
110.215108   1.386906   1.420471
110.305153   1.384275   1.412224
110.395198   1.381637   1.403939
110.485243   1.378992   1.395619
110.575288   1.376341   1.387261
110.665333   1.373684   1.378867
110.755378   1.371020   1.370437
110.845423   1.368349   1.361970
110.935468   1.365673   1.353467
111.025513   1.362990   1.344927
111.115558   1.360301   1.336350
111.205603   1.357606   1.327737
111.295648   1.354905   1.319087
111.385693   1.352197   1.310401
111.475738   1.349484   1.301678
111.565783   1.346765   1.292919
111.655828   1.344040   1.284123
111.745873   1.341310   1.275291
111.835918   1.338573   1.266422
111.925963   1.335831   1.257516
112.016008   1.333084   1.248574
112.106053   1.330331   1.239596
112.196098   1.327572   1.230580
112.286143   1.324808   1.221529
112.376188   1.322038   1.212440
112.466233   1.319263   1.203315
112.556278   1.316483   1.194154
112.646323   1.313698   1.184956
112.736368   1.310908   1.175721
112.826413   1.308112   1.166450
112.916458   1.305312   1.157142
113.006503   1.302506   1.147798
113.096548   1.299696   1.138417
113.186593   1.296880   1.128999
113.276638   1.294060   1.119545
113.366683   1.291235   1.110054
113.456728   1.288406   1.100527
113.546773   1.285572   1.090963
113.636818   1.282733   1.081362
113.726863   1.279890   1.071725
113.816908   1.277042   1.062051
113.906953   1.274190   1.052341
113.996998   1.271333   1.042594
114.087044   1.268472   1.032810
114.177089   1.265607   1.022990
114.267134   1.262738   1.013133
114.357179   1.259865   1.003239
114.447224   1.256987   0.993309
114.537269   1.254106   0.983342
114.627314   1.251221   0.973339
114.717359   1.248331   0.963299
114.807404   1.245438   0.953222
114.897449   1.242541   0.943108
114.987494   1.239641   0.932958
115.077539   1.236736   0.922772
115.167584   1.233829   0.912548
115.257629   1.230917   0.902288
115.347674   1.228002   0.891991
115.437719   1.225084   0.881658
115.527764   1.222162   0.871287
115.617809   1.219237   0.860880
115.707854   1.216308   0.850437
115.797899   1.213377   0.839956
115.887944   1.210442   0.829439
115.977989   1.207504   0.818886
116.068034   1.204563   0.808295
116.158079   1.201619   0.797668
116.248124   1.198672   0.787004
116.338169   1.195722   0.776303
116.428214   1.192770   0.765565
116.518259   1.189814   0.754791
116.608304   1.186856   0.743980
116.698349   1.183895   0.733132
116.788394   1.180932   0.722248
116.878439   1.177966   0.711326
116.968484   1.174997   0.700368
117.058529   1.172026   0.689373
117.148574   1.169053   0.678341
117.238619   1.166077   0.667272
117.328664   1.163099   0.656167
117.418709   1.160119   0.645025
117.508754   1.157136   0.633845
117.598799   1.154152   0.622629
117.688844   1.151165   0.611376
117.778889   1.148177   0.600087
117.868934   1.145186   0.588760
117.958979   1.142193   0.577396
118.049024   1.139199   0.565996
118.139070   1.136203   0.554559
118.229115   1.133205   0.543084
118.319160   1.130205   0.531573
118.409205   1.127204   0.520025
118.499250   1.124201   0.508440
118.589295   1.121197   0.496818
118.679340   1.118191   0.485159
118.769385   1.115183   0.473463
118.859430   1.112175   0.461730
118.949475   1.109165   0.449960
119.039520   1.106153   0.438153
119.129565   1.103141   0.426309
119.219610   1.100127   0.414428
119.309655   1.097112   0.402510
119.399700   1.094096   0.390555
119.489745   1.091079   0.378562
119.579790   1.088061   0.366533
119.669835   1.085042   0.354467
119.759880   1.082023   0.342363
119.849925   1.079002   0.330223
119.939970   1.075981   0.318045
120.030015   1.072959   0.305830
120.120060   1.069936   0.293578
120.210105   1.066913   0.281289
120.300150   1.063889   0.268962
120.390195   1.060864   0.256599
120.480240   1.057840   0.244198
120.570285   1.054814   0.231760
120.660330   1.051789   0.219285
120.750375   1.048763   0.206772
120.840420   1.045737   0.194223
120.930465   1.042710   0.181636
121.020510   1.039683   0.169011
121.110555   1.036657   0.156350
121.200600   1.033630   0.143651
121.290645   1.030603   0.130915
121.380690   1.027576   0.118141
121.470735   1.024550   0.105330
121.560780   1.021523   0.092482
121.650825   1.018497   0.079596
121.740870   1.015470   0.066673
121.830915   1.012444   0.053712
121.920960   1.009419   0.040714
122.011005   1.006394   0.027678
122.101051   1.003369   0.014605
122.191096   1.000344   0.001495
122.281141   0.997320   -0.011654
122.371186   0.994297   -0.024839
122.461231   0.991274   -0.038062
122.551276   0.988252   -0.051323
122.641321   0.985230   -0.064622
122.731366   0.982210   -0.077958
122.821411   0.979190   -0.091331
122.911456   0.976171   -0.104743
123.001501   0.973152   -0.118192
123.091546   0.970135   -0.131678
123.181591   0.967119   -0.145203
123.271636   0.964103   -0.158765
123.361681   0.961089   -0.172365
123.451726   0.958076   -0.186002
123.541771   0.955063   -0.199678
123.631816   0.952052   -0.213391
123.721861   0.949043   -0.227142
123.811906   0.946034   -0.240931
123.901951   0.943027   -0.254758
123.991996   0.940021   -0.268623
124.082041   0.937017   -0.282526
124.172086   0.934014   -0.296467
124.262131   0.931012   -0.310445
124.352176   0.928012   -0.324462
124.442221   0.925014   -0.338517
124.532266   0.922017   -0.352610
124.622311   0.919022   -0.366741
124.712356   0.916029   -0.380910
124.802401   0.913037   -0.395117
124.892446   0.910047   -0.409362
124.982491   0.907059   -0.423646
125.072536   0.904073   -0.437967
125.162581   0.901088   -0.452327
125.252626   0.898106   -0.466726
125.342671   0.895125   -0.481162
125.432716   0.892147   -0.495637
125.522761   0.889170   -0.510150
125.612806   0.886196   -0.524702
125.702851   0.883224   -0.539292
125.792896   0.880254   -0.553920
125.882941   0.877286   -0.568587
125.972986   0.874321   -0.583292
126.063031   0.871358   -0.598036
126.153077   0.868397   -0.612819
126.243122   0.865438   -0.627640
126.333167   0.862482   -0.642499
126.423212   0.859528   -0.657398
126.513257   0.856577   -0.672335
126.603302   0.853629   -0.687310
126.693347   0.850683   -0.702325
126.783392   0.847739   -0.717378
126.873437   0.844798   -0.732470
126.963482   0.841860   -0.747601
127.053527   0.838925   -0.762771
127.143572   0.835992   -0.777979
127.233617   0.833062   -0.793227
127.323662   0.830135   -0.808513
127.413707   0.827211   -0.823839
127.503752   0.824289   -0.839204
127.593797   0.821371   -0.854607
127.683842   0.818455   -0.870050
127.773887   0.815543   -0.885532
127.863932   0.812633   -0.901053
127.953977   0.809727   -0.916614
128.044022   0.806824   -0.932214
128.134067   0.803924   -0.947853
128.224112   0.801027   -0.963531
128.314157   0.798133   -0.979249
128.404202   0.795242   -0.995006
128.494247   0.792355   -1.010803
128.584292   0.789471   -1.026639
128.674337   0.786590   -1.042515
128.764382   0.783713   -1.058430
128.854427   0.780839   -1.074385
128.944472   0.777968   -1.090380
129.034517   0.775101   -1.106414
129.124562   0.772238   -1.122489
129.214607   0.769378   -1.138603
129.304652   0.766522   -1.154756
129.394697   0.763669   -1.170950
129.484742   0.760819   -1.187184
129.574787   0.757974   -1.203457
129.664832   0.755132   -1.219771
129.754877   0.752294   -1.236125
129.844922   0.749459   -1.252519
129.934967   0.746629   -1.268953
130.025012   0.743802   -1.285427
130.115058   0.740979   -1.301942
130.205103   0.738160   -1.318497
130.295148   0.735344   -1.335092
130.385193   0.732533   -1.351728
130.475238   0.729726   -1.368404
130.565283   0.726922   -1.385121
130.655328   0.724123   -1.401878
130.745373   0.721327   -1.418676
130.835418   0.718536   -1.435515
130.925463   0.715749   -1.452394
131.015508   0.712966   -1.469315
131.105553   0.710187   -1.486276
131.195598   0.707412   -1.503278
131.285643   0.704641   -1.520320
131.375688   0.701875   -1.537404
131.465733   0.699112   -1.554529
131.555778   0.696355   -1.571695
131.645823   0.693601   -1.588903
131.735868   0.690852   -1.606151
131.825913   0.688107   -1.623441
131.915958   0.685366   -1.640772
132.006003   0.682630   -1.658145
132.096048   0.679899   -1.675559
132.186093   0.677171   -1.693015
132.276138   0.674449   -1.710512
132.366183   0.671730   -1.728051
132.456228   0.669017   -1.745631
132.546273   0.666307   -1.763254
132.636318   0.663603   -1.780918
132.726363   0.660903   -1.798624
132.816408   0.658207   -1.816372
132.906453   0.655517   -1.834163
132.996498   0.652831   -1.851995
133.086543   0.650149   -1.869870
133.176588   0.647473   -1.887787
133.266633   0.644801   -1.905746
133.356678   0.642133   -1.923747
133.446723   0.639471   -1.941791
133.536768   0.636813   -1.959878
133.626813   0.634161   -1.978007
133.716858   0.631513   -1.996179
133.806903   0.628870   -2.014394
133.896948   0.626231   -2.032651
133.986993   0.623598   -2.050951
134.077038   0.620970   -2.069295
134.167084   0.618346   -2.087681
134.257129   0.615728   -2.106111
134.347174   0.613115   -2.124584
134.437219   0.610506   -2.143100
134.527264   0.607903   -2.161659
134.617309   0.605304   -2.180262
134.707354   0.602711   -2.198908
134.797399   0.600123   -2.217598
134.887444   0.597540   -2.236332
134.977489   0.594962   -2.255110
135.067534   0.592389   -2.273931
135.157579   0.589821   -2.292796
135.247624   0.587259   -2.311706
135.337669   0.584701   -2.330659
135.427714   0.582149   -2.349657
135.517759   0.579602   -2.368699
135.607804   0.577061   -2.387785
135.697849   0.574524   -2.406916
135.787894   0.571993   -2.426091
135.877939   0.569467   -2.445311
135.967984   0.566947   -2.464576
136.058029   0.564432   -2.483886
136.148074   0.561922   -2.503240
136.238119   0.559417   -2.522640
136.328164   0.556918   -2.542084
136.418209   0.554425   -2.561574
136.508254   0.551936   -2.581110
136.598299   0.549454   -2.600690
136.688344   0.546976   -2.620316
136.778389   0.544504   -2.639988
136.868434   0.542038   -2.659706
136.958479   0.539577   -2.679469
137.048524   0.537121   -2.699278
137.138569   0.534671   -2.719134
137.228614   0.532227   -2.739035
137.318659   0.529788   -2.758983
137.408704   0.527354   -2.778977
137.498749   0.524926   -2.799017
137.588794   0.522504   -2.819104
137.678839   0.520087   -2.839238
137.768884   0.517676   -2.859418
137.858929   0.515271   -2.879646
137.948974   0.512871   -2.899920
138.039019   0.510477   -2.920242
138.129065   0.508088   -2.940610
138.219110   0.505705   -2.961027
138.309155   0.503328   -2.981490
138.399200   0.500956   -3.002001
138.489245   0.498590   -3.022560
138.579290   0.496230   -3.043167
138.669335   0.493876   -3.063822
138.759380   0.491527   -3.084525
138.849425   0.489184   -3.105276
138.939470   0.486847   -3.126075
139.029515   0.484516   -3.146923
139.119560   0.482190   -3.167819
139.209605   0.479870   -3.188764
139.299650   0.477556   -3.209758
139.389695   0.475248   -3.230801
139.479740   0.472945   -3.251894
139.569785   0.470648   -3.273035
139.659830   0.468357   -3.294226
139.749875   0.466072   -3.315466
139.839920   0.463793   -3.336756
139.929965   0.461520   -3.358096
140.020010   0.459252   -3.379485
140.110055   0.456991   -3.400925
140.200100   0.454735   -3.422415
140.290145   0.452485   -3.443955
140.380190   0.450241   -3.465546
140.470235   0.448003   -3.487188
140.560280   0.445771   -3.508880
140.650325   0.443545   -3.530624
140.740370   0.441325   -3.552418
140.830415   0.439110   -3.574264
140.920460   0.436902   -3.596161
141.010505   0.434699   -3.618110
141.100550   0.432503   -3.640110
141.190595   0.430312   -3.662163
141.280640   0.428128   -3.684267
141.370685   0.425949   -3.706424
141.460730   0.423776   -3.728633
141.550775   0.421610   -3.750895
141.640820   0.419449   -3.773209
141.730865   0.417294   -3.795576
141.820910   0.415146   -3.817997
141.910955   0.413003   -3.840470
142.001000   0.410866   -3.862997
142.091045   0.408735   -3.885578
142.181091   0.406611   -3.908212
142.271136   0.404492   -3.930900
142.361181   0.402379   -3.953643
142.451226   0.400273   -3.976439
142.541271   0.398172   -3.999290
142.631316   0.396078   -4.022196
142.721361   0.393989   -4.045157
142.811406   0.391907   -4.068173
142.901451   0.389830   -4.091243
142.991496   0.387760   -4.114370
143.081541   0.385696   -4.137552
143.171586   0.383637   -4.160790
143.261631   0.381585   -4.184083
143.351676   0.379539   -4.207433
143.441721   0.377499   -4.230840
143.531766   0.375465   -4.254303
143.621811   0.373437   -4.277823
143.711856   0.371416   -4.301400
143.801901   0.369400   -4.325034
143.891946   0.367390   -4.348725
143.981991   0.365387   -4.372475
144.072036   0.363389   -4.396282
144.162081   0.361398   -4.420147
144.252126   0.359412   -4.444071
144.342171   0.357433   -4.468053
144.432216   0.355460   -4.492094
144.522261   0.353493   -4.516193
144.612306   0.351532   -4.540352
144.702351   0.349577   -4.564571
144.792396   0.347628   -4.588849
144.882441   0.345686   -4.613187
144.972486   0.343749   -4.637586
145.062531   0.341819   -4.662044
145.152576   0.339894   -4.686563
145.242621   0.337976   -4.711144
145.332666   0.336064   -4.735785
145.422711   0.334158   -4.760488
145.512756   0.332258   -4.785252
145.602801   0.330364   -4.810078
145.692846   0.328476   -4.834966
145.782891   0.326594   -4.859917
145.872936   0.324718   -4.884930
145.962981   0.322849   -4.910006
146.053026   0.320985   -4.935146
146.143072   0.319128   -4.960349
146.233117   0.317277   -4.985615
146.323162   0.315432   -5.010946
146.413207   0.313593   -5.036341
146.503252   0.311760   -5.061800
146.593297   0.309933   -5.087324
146.683342   0.308112   -5.112914
146.773387   0.306297   -5.138569
146.863432   0.304489   -5.164289
146.953477   0.302686   -5.190075
147.043522   0.300890   -5.215928
147.133567   0.299099   -5.241847
147.223612   0.297315   -5.267834
147.313657   0.295537   -5.293887
147.403702   0.293764   -5.320008
147.493747   0.291998   -5.346197
147.583792   0.290238   -5.372453
147.673837   0.288484   -5.398779
147.763882   0.286736   -5.425173
147.853927   0.284994   -5.451636
147.943972   0.283259   -5.478168
148.034017   0.281529   -5.504771
148.124062   0.279805   -5.531443
148.214107   0.278087   -5.558186
148.304152   0.276376   -5.584999
148.394197   0.274670   -5.611884
148.484242   0.272971   -5.638840
148.574287   0.271277   -5.665868
148.664332   0.269590   -5.692968
148.754377   0.267908   -5.720140
148.844422   0.266233   -5.747386
148.934467   0.264563   -5.774704
149.024512   0.262900   -5.802096
149.114557   0.261242   -5.829562
149.204602   0.259591   -5.857103
149.294647   0.257946   -5.884718
149.384692   0.256306   -5.912408
149.474737   0.254673   -5.940174
149.564782   0.253045   -5.968016
149.654827   0.251424   -5.995934
149.744872   0.249808   -6.023929
149.834917   0.248199   -6.052000
149.924962   0.246595   -6.080150
150.015007   0.244998   -6.108377
150.105052   0.243406   -6.136682
150.195098   0.241821   -6.165067
150.285143   0.240241   -6.193530
150.375188   0.238667   -6.222073
150.465233   0.237099   -6.250696
150.555278   0.235537   -6.279400
150.645323   0.233982   -6.308184
150.735368   0.232432   -6.337050
150.825413   0.230887   -6.365997
150.915458   0.229349   -6.395027
151.005503   0.227817   -6.424140
151.095548   0.226291   -6.453336
151.185593   0.224770   -6.482615
151.275638   0.223255   -6.511979
151.365683   0.221747   -6.541427
151.455728   0.220244   -6.570960
151.545773   0.218747   -6.600579
151.635818   0.217256   -6.630284
151.725863   0.215771   -6.660076
151.815908   0.214291   -6.689955
151.905953   0.212818   -6.719921
151.995998   0.211350   -6.749976
152.086043   0.209888   -6.780119
152.176088   0.208432   -6.810351
152.266133   0.206982   -6.840673
152.356178   0.205538   -6.871086
152.446223   0.204099   -6.901589
152.536268   0.202666   -6.932184
152.626313   0.201239   -6.962870
152.716358   0.199818   -6.993649
152.806403   0.198403   -7.024521
152.896448   0.196993   -7.055487
152.986493   0.195589   -7.086547
153.076538   0.194191   -7.117702
153.166583   0.192799   -7.148952
153.256628   0.191412   -7.180299
153.346673   0.190032   -7.211741
153.436718   0.188657   -7.243282
153.526763   0.187287   -7.274920
153.616808   0.185924   -7.306656
153.706853   0.184566   -7.338492
153.796898   0.183213   -7.370427
153.886943   0.181867   -7.402463
153.976988   0.180526   -7.434600
154.067033   0.179191   -7.466839
154.157078   0.177862   -7.499180
154.247124   0.176538   -7.531625
154.337169   0.175220   -7.564173
154.427214   0.173907   -7.596826
154.517259   0.172600   -7.629584
154.607304   0.171299   -7.662447
154.697349   0.170004   -7.695418
154.787394   0.168714   -7.728496
154.877439   0.167429   -7.761682
154.967484   0.166151   -7.794977
155.057529   0.164878   -7.828381
155.147574   0.163610   -7.861896
155.237619   0.162348   -7.895523
155.327664   0.161092   -7.929261
155.417709   0.159841   -7.963111
155.507754   0.158596   -7.997076
155.597799   0.157356   -8.031155
155.687844   0.156122   -8.065348
155.777889   0.154894   -8.099658
155.867934   0.153671   -8.134085
155.957979   0.152453   -8.168630
156.048024   0.151241   -8.203293
156.138069   0.150035   -8.238075
156.228114   0.148834   -8.272978
156.318159   0.147639   -8.308002
156.408204   0.146449   -8.343148
156.498249   0.145264   -8.378418
156.588294   0.144085   -8.413811
156.678339   0.142911   -8.449329
156.768384   0.141743   -8.484973
156.858429   0.140581   -8.520743
156.948474   0.139423   -8.556642
157.038519   0.138272   -8.592669
157.128564   0.137125   -8.628826
157.218609   0.135984   -8.665114
157.308654   0.134849   -8.701533
157.398699   0.133718   -8.738086
157.488744   0.132594   -8.774772
157.578789   0.131474   -8.811593
157.668834   0.130360   -8.848550
157.758879   0.129251   -8.885645
157.848924   0.128148   -8.922877
157.938969   0.127050   -8.960249
158.029014   0.125957   -8.997761
158.119059   0.124870   -9.035415
158.209105   0.123788   -9.073211
158.299150   0.122711   -9.111152
158.389195   0.121640   -9.149237
158.479240   0.120574   -9.187469
158.569285   0.119513   -9.225848
158.659330   0.118457   -9.264376
158.749375   0.117407   -9.303054
158.839420   0.116362   -9.341884
158.929465   0.115322   -9.380866
159.019510   0.114288   -9.420002
159.109555   0.113258   -9.459293
159.199600   0.112234   -9.498741
159.289645   0.111216   -9.538346
159.379690   0.110202   -9.578111
159.469735   0.109193   -9.618037
159.559780   0.108190   -9.658124
159.649825   0.107192   -9.698375
159.739870   0.106199   -9.738791
159.829915   0.105211   -9.779374
159.919960   0.104229   -9.820124
160.010005   0.103251   -9.861044
160.100050   0.102279   -9.902135
160.190095   0.101312   -9.943399
160.280140   0.100350   -9.984836
160.370185   0.099393   -10.026450
160.460230   0.098441   -10.068241
160.550275   0.097494   -10.110210
160.640320   0.096553   -10.152361
160.730365   0.095616   -10.194693
160.820410   0.094685   -10.237210
